199,ARCABUCO,5,2021-08-01 20:38:11,2021-08-01 20:38:11
200,BELEN,5,2021-08-02 20:38:11,2021-08-02 20:38:11
201,BERBEO,5,2021-08-03 20:38:11,2021-08-03 20:38:11
202,BETEITIVA,5,2021-08-04 20:38:11,2021-08-04 20:38:11
203,BOAVITA,5,2021-08-05 20:38:11,2021-08-05 20:38:11
204,BOYACA,5,2021-08-06 20:38:11,2021-08-06 20:38:11
205,BRICEÑO,5,2021-08-07 20:38:11,2021-08-07 20:38:11
206,BUENAVISTA,5,2021-08-08 20:38:11,2021-08-08 20:38:11
207,BUSBANZA,5,2021-08-09 20:38:11,2021-08-09 20:38:11
208,CALDAS,5,2021-08-10 20:38:11,2021-08-10 20:38:11
209,CAMPOHERMOSO,5,2021-08-11 20:38:11,2021-08-11 20:38:11
210,CERINZA,5,2021-08-12 20:38:11,2021-08-12 20:38:11
211,CHINAVITA,5,2021-08-13 20:38:11,2021-08-13 20:38:11
212,CHIQUINQUIRA,5,2021-08-14 20:38:11,2021-08-14 20:38:11
213,CHISCAS,5,2021-08-15 20:38:11,2021-08-15 20:38:11
214,CHITA,5,2021-08-16 20:38:11,2021-08-16 20:38:11
215,CHITARAQUE,5,2021-08-17 20:38:11,2021-08-17 20:38:11
216,CHIVATA,5,2021-08-18 20:38:11,2021-08-18 20:38:11
217,CIENEGA,5,2021-08-19 20:38:11,2021-08-19 20:38:11
218,COMBITA,5,2021-08-20 20:38:11,2021-08-20 20:38:11
219,COPER,5,2021-08-21 20:38:11,2021-08-21 20:38:11
220,CORRALES,5,2021-08-22 20:38:11,2021-08-22 20:38:11
221,COVARACHIA,5,2021-08-23 20:38:11,2021-08-23 20:38:11
222,CUBARA,5,2021-08-24 20:38:11,2021-08-24 20:38:11
223,CUCAITA,5,2021-08-25 20:38:11,2021-08-25 20:38:11
224,CUITIVA,5,2021-08-26 20:38:11,2021-08-26 20:38:11
225,CHIQUIZA,5,2021-08-27 20:38:11,2021-08-27 20:38:11
226,CHIVOR,5,2021-08-28 20:38:11,2021-08-28 20:38:11
227,DUITAMA,5,2021-08-29 20:38:11,2021-08-29 20:38:11
228,EL COCUY,5,2021-08-30 20:38:11,2021-08-30 20:38:11
229,EL ESPINO,5,2021-08-31 20:38:11,2021-08-31 20:38:11
230,FIRAVITOBA,5,2021-09-01 20:38:11,2021-09-01 20:38:11
231,FLORESTA,5,2021-09-02 20:38:11,2021-09-02 20:38:11
232,GACHANTIVA,5,2021-09-03 20:38:11,2021-09-03 20:38:11
233,GAMEZA,5,2021-09-04 20:38:11,2021-09-04 20:38:11
234,GARAGOA,5,2021-09-05 20:38:11,2021-09-05 20:38:11
235,GUACAMAYAS,5,2021-09-06 20:38:11,2021-09-06 20:38:11
236,GUATEQUE,5,2021-09-07 20:38:11,2021-09-07 20:38:11
237,GUAYATA,5,2021-09-08 20:38:11,2021-09-08 20:38:11
238,GsICAN,5,2021-09-09 20:38:11,2021-09-09 20:38:11
239,IZA,5,2021-09-10 20:38:11,2021-09-10 20:38:11
240,JENESANO,5,2021-09-11 20:38:11,2021-09-11 20:38:11
241,JERICO,5,2021-09-12 20:38:11,2021-09-12 20:38:11
242,LABRANZAGRANDE,5,2021-09-13 20:38:11,2021-09-13 20:38:11
243,LA CAPILLA,5,2021-09-14 20:38:11,2021-09-14 20:38:11
244,LA VICTORIA,5,2021-09-15 20:38:11,2021-09-15 20:38:11
245,LA UVITA,5,2021-09-16 20:38:11,2021-09-16 20:38:11
246,VILLA DE LEYVA,5,2021-09-17 20:38:11,2021-09-17 20:38:11
247,MACANAL,5,2021-09-18 20:38:11,2021-09-18 20:38:11
248,MARIPI,5,2021-09-19 20:38:11,2021-09-19 20:38:11
249,MIRAFLORES,5,2021-09-20 20:38:11,2021-09-20 20:38:11
250,MONGUA,5,2021-09-21 20:38:11,2021-09-21 20:38:11
251,MONGUI,5,2021-09-22 20:38:11,2021-09-22 20:38:11
252,MONIQUIRA,5,2021-09-23 20:38:11,2021-09-23 20:38:11
253,MOTAVITA,5,2021-09-24 20:38:11,2021-09-24 20:38:11
254,MUZO,5,2021-09-25 20:38:11,2021-09-25 20:38:11
